,2018rank,city,state,2018estimate,2010census,change(%),2016 land area(sq mi),2016 land area(sq km),2016 population density (/sq mi),2016 population density (/sq km),location,wiki_city_url,Annual high temperature(F),Annual low temperature(F),Average temperature(F),Average annual precipitation - rainfall(in)
168,169,Sunnyvale,California,153185,140081,9.35,22.0,57.0,6944.0,2681.0,37°23′09″N 122°01′35″W﻿ / ﻿37.3858°N 122.0263°W,https://en.wikipedia.org/wiki/Sunnyvale,-,-,-,-
169,170,Macon,Georgia,153095,91351,67.59,249.3,645.7,612.0,236.0,32°48′32″N 83°41′39″W﻿ / ﻿32.8088°N 83.6942°W,https://en.wikipedia.org/wiki/Macon,76.4,52.5,64.45,45.72
170,171,Kansas City,Kansas,152958,145786,4.92,124.8,323.2,1216.0,470.0,39°07′21″N 94°44′30″W﻿ / ﻿39.1225°N 94.7418°W,https://en.wikipedia.org/wiki/Kansas_City,64.3,42.5,53.4,34.14
171,172,Pomona,California,152361,149058,2.22,23.0,59.6,6630.0,2560.0,34°03′31″N 117°45′40″W﻿ / ﻿34.0585°N 117.7611°W,https://en.wikipedia.org/wiki/Pomona,77.1,49.9,63.5,16.99
172,173,Escondido,California,152213,143911,5.77,37.1,96.1,4087.0,1578.0,33°07′59″N 117°04′26″W﻿ / ﻿33.1331°N 117.0740°W,https://en.wikipedia.org/wiki/Escondido,77.5,52.6,65.05,14.98
173,174,Killeen,Texas,149103,127921,16.56,53.5,138.6,2680.0,1030.0,31°04′40″N 97°43′55″W﻿ / ﻿31.0777°N 97.7320°W,https://en.wikipedia.org/wiki/Killeen,77.7,53.8,65.75,32.83
174,175,Naperville,Illinois,148304,141853,4.55,38.7,100.2,3802.0,1468.0,41°44′57″N 88°09′43″W﻿ / ﻿41.7492°N 88.1620°W,https://en.wikipedia.org/wiki/Naperville,-,-,-,-
175,176,Joliet,Illinois,148099,147433,0.45,64.4,166.8,2302.0,889.0,41°31′04″N 88°08′56″W﻿ / ﻿41.5177°N 88.1488°W,https://en.wikipedia.org/wiki/Joliet,59.8,41.1,50.45,36.82
176,177,Bellevue,Washington,147599,122363,20.62,33.5,86.8,4221.0,1630.0,47°35′52″N 122°09′23″W﻿ / ﻿47.5979°N 122.1565°W,https://en.wikipedia.org/wiki/Bellevue,-,-,-,-
177,178,Rockford,Illinois,146526,152871,-4.15,63.5,164.5,2325.0,898.0,42°15′32″N 89°03′53″W﻿ / ﻿42.2588°N 89.0646°W,https://en.wikipedia.org/wiki/Rockford,59.2,39.0,49.1,36.29
178,179,Savannah,Georgia,145862,136286,7.03,103.6,268.3,1417.0,547.0,32°00′09″N 81°09′13″W﻿ / ﻿32.0025°N 81.1536°W,https://en.wikipedia.org/wiki/Savannah,77.3,56.3,66.8,47.98
179,180,Paterson,New Jersey,145627,146199,-0.39,8.4,21.8,17500.0,6800.0,40°54′53″N 74°09′46″W﻿ / ﻿40.9148°N 74.1628°W,https://en.wikipedia.org/wiki/Paterson,-,-,-,-
180,181,Torrance,California,145182,145438,-0.18,20.5,53.1,7180.0,2770.0,33°50′06″N 118°20′29″W﻿ / ﻿33.8350°N 118.3414°W,https://en.wikipedia.org/wiki/Torrance,71.4,53.6,62.5,14.46
181,182,Bridgeport,Connecticut,144900,144229,0.47,16.1,41.7,9064.0,3500.0,41°11′15″N 73°11′45″W﻿ / ﻿41.1874°N 73.1958°W,https://en.wikipedia.org/wiki/Bridgeport,60.2,44.5,52.35,42.8
182,183,McAllen,Texas,143433,129877,10.44,58.4,151.3,2435.0,940.0,26°13′56″N 98°14′47″W﻿ / ﻿26.2322°N 98.2464°W,https://en.wikipedia.org/wiki/McAllen,85.9,65.3,75.6,22.24
183,184,Mesquite,Texas,142816,139824,2.14,47.2,122.2,3045.0,1176.0,32°45′46″N 96°35′20″W﻿ / ﻿32.7629°N 96.5888°W,https://en.wikipedia.org/wiki/Mesquite,-,-,-,-
184,185,Syracuse,New York,142749,145170,-1.67,25.0,64.7,5735.0,2214.0,43°02′28″N 76°08′37″W﻿ / ﻿43.0410°N 76.1436°W,https://en.wikipedia.org/wiki/Syracuse,57.8,40.1,48.95,41.54
185,186,Midland,Texas,142344,111147,28.07,74.4,192.7,1809.0,698.0,32°01′29″N 102°06′49″W﻿ / ﻿32.0246°N 102.1135°W,https://en.wikipedia.org/wiki/Midland,80.0,50.9,65.45,14.9
186,187,Pasadena,California,141371,137122,3.1,23.0,59.6,6176.0,2385.0,34°09′38″N 118°08′23″W﻿ / ﻿34.1606°N 118.1396°W,https://en.wikipedia.org/wiki/Pasadena,78.4,55.4,66.9,21.27
187,188,Murfreesboro,Tennessee,141344,108755,29.97,55.9,144.8,2360.0,910.0,35°51′08″N 86°24′58″W﻿ / ﻿35.8522°N 86.4160°W,https://en.wikipedia.org/wiki/Murfreesboro,70.8,45.6,58.2,53.42
188,189,Miramar,Florida,140823,122041,15.39,29.4,76.1,4709.0,1818.0,25°58′37″N 80°20′09″W﻿ / ﻿25.9770°N 80.3358°W,https://en.wikipedia.org/wiki/Miramar,-,-,-,-
189,190,Dayton,Ohio,140640,141527,-0.63,55.7,144.3,2522.0,974.0,39°46′39″N 84°11′59″W﻿ / ﻿39.7774°N 84.1996°W,https://en.wikipedia.org/wiki/Dayton,61.1,42.8,51.95,41.09
190,191,Fullerton,California,139640,135161,3.31,22.4,58.0,6282.0,2425.0,33°53′09″N 117°55′41″W﻿ / ﻿33.8857°N 117.9280°W,https://en.wikipedia.org/wiki/Fullerton,75.1,54.9,65.0,13.88
191,192,Olathe,Kansas,139605,125872,10.91,60.9,157.7,2225.0,859.0,38°53′03″N 94°49′10″W﻿ / ﻿38.8843°N 94.8195°W,https://en.wikipedia.org/wiki/Olathe,65.7,45.3,55.5,40.12
192,193,Orange,California,139484,136416,2.25,25.4,65.8,5532.0,2136.0,33°47′13″N 117°51′41″W﻿ / ﻿33.7870°N 117.8613°W,https://en.wikipedia.org/wiki/Orange,-,-,-,-
193,194,Thornton,Colorado,139436,118772,17.4,35.7,92.5,3829.0,1478.0,39°55′10″N 104°56′34″W﻿ / ﻿39.9194°N 104.9428°W,https://en.wikipedia.org/wiki/Thornton,-,-,-,-
194,195,Roseville,California,139117,118788,17.11,43.0,111.4,3085.0,1191.0,38°46′08″N 121°19′08″W﻿ / ﻿38.7690°N 121.3189°W,https://en.wikipedia.org/wiki/Roseville,-,-,-,-
195,196,Denton,Texas,138541,113383,22.19,93.4,241.9,1433.0,553.0,33°13′00″N 97°08′29″W﻿ / ﻿33.2166°N 97.1414°W,https://en.wikipedia.org/wiki/Denton,76.0,53.7,64.85,38.08
196,197,Waco,Texas,138183,124805,10.72,89.0,230.5,1510.0,580.0,31°33′36″N 97°11′10″W﻿ / ﻿31.5601°N 97.1860°W,https://en.wikipedia.org/wiki/Waco,77.7,55.3,66.5,36.38
197,198,Surprise,Arizona,138161,117517,17.57,107.9,279.5,1230.0,470.0,33°40′14″N 112°27′10″W﻿ / ﻿33.6706°N 112.4527°W,https://en.wikipedia.org/wiki/Surprise,-,-,-,-
198,199,Carrollton,Texas,136879,119097,14.93,36.3,94.0,3674.0,1419.0,32°59′18″N 96°53′59″W﻿ / ﻿32.9884°N 96.8998°W,https://en.wikipedia.org/wiki/Carrollton,-,-,-,-
199,200,West Valley City,Utah,136401,129480,5.35,35.5,91.9,3847.0,1485.0,40°41′19″N 112°00′42″W﻿ / ﻿40.6885°N 112.0118°W,https://en.wikipedia.org/wiki/West_Valley_City,-,-,-,-
200,201,Charleston,South Carolina,136208,120083,13.43,109.0,282.3,1233.0,476.0,32°49′04″N 79°57′32″W﻿ / ﻿32.8179°N 79.9590°W,https://en.wikipedia.org/wiki/Charleston,-,-,-,-
201,202,Warren,Michigan,134587,134056,0.4,34.4,89.1,3928.0,1517.0,42°29′34″N 83°01′30″W﻿ / ﻿42.4929°N 83.0250°W,https://en.wikipedia.org/wiki/Warren,-,-,-,-
202,203,Hampton,Virginia,134313,137436,-2.27,51.5,133.4,2629.0,1015.0,37°02′53″N 76°17′50″W﻿ / ﻿37.0480°N 76.2971°W,https://en.wikipedia.org/wiki/Hampton,70.4,53.4,61.9,-
203,204,Gainesville,Florida,133857,124354,7.64,62.3,161.4,2112.0,815.0,29°40′44″N 82°20′46″W﻿ / ﻿29.6788°N 82.3461°W,https://en.wikipedia.org/wiki/Gainesville,79.9,57.5,68.7,47.37
204,205,Visalia,California,133800,124442,7.52,37.5,97.1,3495.0,1349.0,36°19′38″N 119°19′44″W﻿ / ﻿36.3273°N 119.3289°W,https://en.wikipedia.org/wiki/Visalia,74.9,51.8,63.35,10.94
205,206,Coral Springs,Florida,133507,121096,10.25,23.8,61.6,5465.0,2110.0,26°16′15″N 80°15′33″W﻿ / ﻿26.2707°N 80.2593°W,https://en.wikipedia.org/wiki/Coral_Springs,-,-,-,-
206,207,Columbia,South Carolina,133451,129272,3.23,133.5,345.8,1006.0,388.0,34°01′45″N 80°53′53″W﻿ / ﻿34.0291°N 80.8980°W,https://en.wikipedia.org/wiki/Columbia,75.3,52.3,63.8,44.29
207,208,Cedar Rapids,Iowa,133174,126326,5.42,70.8,183.4,1852.0,715.0,41°58′01″N 91°40′40″W﻿ / ﻿41.9670°N 91.6778°W,https://en.wikipedia.org/wiki/Cedar_Rapids,60.5,39.8,50.15,37.63
208,209,Sterling Heights,Michigan,132964,129699,2.52,36.5,94.5,3628.0,1401.0,42°34′52″N 83°01′49″W﻿ / ﻿42.5812°N 83.0303°W,https://en.wikipedia.org/wiki/Sterling_Heights,-,-,-,-
209,210,New Haven,Connecticut,130418,129779,0.49,18.7,48.4,6948.0,2683.0,41°18′39″N 72°55′30″W﻿ / ﻿41.3108°N 72.9250°W,https://en.wikipedia.org/wiki/New_Haven,-,-,-,-
210,211,Stamford,Connecticut,129775,122643,5.82,37.6,97.4,3434.0,1326.0,41°04′48″N 73°32′46″W﻿ / ﻿41.0799°N 73.5460°W,https://en.wikipedia.org/wiki/Stamford,63.1,41.1,52.1,53.15
211,212,Concord,California,129688,122067,6.24,30.5,79.0,4221.0,1630.0,37°58′20″N 122°00′06″W﻿ / ﻿37.9722°N 122.0016°W,https://en.wikipedia.org/wiki/Concord,72.3,49.2,60.75,16.47
212,213,Kent,Washington,129618,92411,40.26,33.7,87.3,3784.0,1461.0,47°23′17″N 122°12′46″W﻿ / ﻿47.3880°N 122.2127°W,https://en.wikipedia.org/wiki/Kent,61.8,44.7,53.25,39.13
213,214,Santa Clara,California,129488,116468,11.18,18.4,47.7,6845.0,2643.0,37°21′53″N 121°58′04″W﻿ / ﻿37.3646°N 121.9679°W,https://en.wikipedia.org/wiki/Santa_Clara,-,-,-,-
214,215,Elizabeth,New Jersey,128885,124969,3.13,12.3,31.9,10459.0,4038.0,40°39′59″N 74°11′37″W﻿ / ﻿40.6664°N 74.1935°W,https://en.wikipedia.org/wiki/Elizabeth,63.3,46.5,54.9,46.24
215,216,Round Rock,Texas,128739,99887,28.88,35.6,92.2,3396.0,1311.0,30°31′31″N 97°39′58″W﻿ / ﻿30.5252°N 97.6660°W,https://en.wikipedia.org/wiki/Round_Rock,-,-,-,-
216,217,Thousand Oaks,California,127690,126683,0.79,55.2,143.0,2335.0,902.0,34°11′36″N 118°52′27″W﻿ / ﻿34.1933°N 118.8742°W,https://en.wikipedia.org/wiki/Thousand_Oaks,74.3,51.0,62.65,16.62
217,218,Lafayette,Louisiana,126143,120623,4.58,53.8,139.3,2372.0,916.0,30°12′27″N 92°01′43″W﻿ / ﻿30.2074°N 92.0285°W,https://en.wikipedia.org/wiki/Lafayette,78.8,59.6,69.2,60.48
218,219,Athens,Georgia,125964,115452,9.11,116.4,301.5,1060.0,410.0,33°56′59″N 83°22′12″W﻿ / ﻿33.9496°N 83.3701°W,https://en.wikipedia.org/wiki/Athens,73.6,51.2,62.4,46.38
219,220,Topeka,Kansas,125904,127473,-1.23,61.5,159.3,2062.0,796.0,39°02′05″N 95°41′46″W﻿ / ﻿39.0347°N 95.6962°W,https://en.wikipedia.org/wiki/Topeka,66.0,44.1,55.05,36.49
220,221,Simi Valley,California,125851,124237,1.3,41.5,107.5,3044.0,1175.0,34°16′01″N 118°44′55″W﻿ / ﻿34.2669°N 118.7485°W,https://en.wikipedia.org/wiki/Simi_Valley,-,-,-,-
221,222,Fargo,North Dakota,124844,105549,18.28,49.3,127.7,2450.0,950.0,46°51′55″N 96°49′44″W﻿ / ﻿46.8652°N 96.8290°W,https://en.wikipedia.org/wiki/Fargo,52.5,31.9,42.2,22.58
222,223,Norman,Oklahoma,123471,110925,11.31,178.8,463.1,683.0,264.0,35°14′26″N 97°20′43″W﻿ / ﻿35.2406°N 97.3453°W,https://en.wikipedia.org/wiki/Norman,71.1,49.0,60.05,38.87
223,224,Columbia,Missouri,123180,108500,13.53,65.0,168.3,1856.0,717.0,38°57′06″N 92°19′43″W﻿ / ﻿38.951561°N 92.328638°W,https://en.wikipedia.org/wiki/Columbia,64.7,44.3,54.5,42.64
224,225,Abilene,Texas,122999,117063,5.07,106.7,276.4,1146.0,442.0,32°27′16″N 99°44′17″W﻿ / ﻿32.4545°N 99.7381°W,https://en.wikipedia.org/wiki/Abilene,76.2,52.9,64.55,24.83
225,226,Wilmington,North Carolina,122607,106476,15.15,51.6,133.6,2278.0,880.0,34°12′33″N 77°53′09″W﻿ / ﻿34.2092°N 77.8858°W,https://en.wikipedia.org/wiki/Wilmington,74.1,53.9,64.0,57.67
226,227,Hartford,Connecticut,122587,124775,-1.75,17.4,45.1,7083.0,2735.0,41°45′57″N 72°40′54″W﻿ / ﻿41.7659°N 72.6816°W,https://en.wikipedia.org/wiki/Hartford,60.1,39.5,49.8,44.23
227,228,Victorville,California,122312,115903,5.53,73.3,189.8,1668.0,644.0,34°31′40″N 117°21′13″W﻿ / ﻿34.5277°N 117.3536°W,https://en.wikipedia.org/wiki/Victorville,78.9,45.7,62.3,6.18
228,229,Pearland,Texas,122149,91252,33.86,46.3,119.9,2453.0,947.0,29°33′21″N 95°19′23″W﻿ / ﻿29.5558°N 95.3231°W,https://en.wikipedia.org/wiki/Pearland,78.5,60.5,69.5,52.66
229,230,Vallejo,California,121913,115942,5.15,30.7,79.5,3951.0,1525.0,38°06′28″N 122°15′50″W﻿ / ﻿38.1079°N 122.2640°W,https://en.wikipedia.org/wiki/Vallejo,-,-,-,-
230,231,Ann Arbor,Michigan,121890,113934,6.98,28.1,72.8,4298.0,1659.0,42°16′34″N 83°43′51″W﻿ / ﻿42.2761°N 83.7309°W,https://en.wikipedia.org/wiki/Ann_Arbor,58.8,40.3,49.55,37.55
231,232,Berkeley,California,121643,112580,8.05,10.5,27.2,11547.0,4458.0,37°52′01″N 122°17′57″W﻿ / ﻿37.8670°N 122.2991°W,https://en.wikipedia.org/wiki/Berkeley,67.8,48.4,58.1,26.75
232,233,Allentown,Pennsylvania,121433,118032,2.88,17.5,45.3,6882.0,2657.0,40°35′37″N 75°28′42″W﻿ / ﻿40.5936°N 75.4784°W,https://en.wikipedia.org/wiki/Allentown,61.3,40.8,51.05,45.35
233,234,Richardson,Texas,120981,99223,21.93,28.6,74.1,3963.0,1530.0,32°58′20″N 96°42′29″W﻿ / ﻿32.9723°N 96.7081°W,https://en.wikipedia.org/wiki/Richardson,75.6,54.6,65.1,41.49
234,235,Odessa,Texas,120568,99940,20.64,45.2,117.1,2608.0,1007.0,31°53′02″N 102°20′28″W﻿ / ﻿31.8838°N 102.3411°W,https://en.wikipedia.org/wiki/Odessa,77.6,52.1,64.85,14.65
235,236,Arvada,Colorado,120492,106433,13.21,38.6,100.0,3043.0,1175.0,39°50′01″N 105°09′01″W﻿ / ﻿39.8337°N 105.1503°W,https://en.wikipedia.org/wiki/Arvada,-,-,-,-
236,237,Cambridge,Massachusetts,118977,105162,13.14,6.4,16.6,17289.0,6675.0,42°22′34″N 71°07′07″W﻿ / ﻿42.3760°N 71.1187°W,https://en.wikipedia.org/wiki/Cambridge,-,-,-,-
237,238,Sugar Land,Texas,118600,78817,50.48,34.0,88.1,3488.0,1347.0,29°35′58″N 95°36′51″W﻿ / ﻿29.5994°N 95.6142°W,https://en.wikipedia.org/wiki/Sugar_Land,79.3,58.9,69.1,49.54
238,239,Beaumont,Texas,118428,118296,0.11,82.1,212.6,1441.0,556.0,30°05′06″N 94°08′43″W﻿ / ﻿30.0849°N 94.1453°W,https://en.wikipedia.org/wiki/Beaumont,78.3,58.9,68.6,60.38
239,240,Lansing,Michigan,118427,114297,3.61,39.1,101.3,2967.0,1146.0,42°42′51″N 84°33′33″W﻿ / ﻿42.7143°N 84.5593°W,https://en.wikipedia.org/wiki/Lansing,57.3,39.1,48.2,31.73
240,241,Evansville,Indiana,117963,117429,0.45,47.3,122.5,2526.0,975.0,37°59′16″N 87°32′05″W﻿ / ﻿37.9877°N 87.5347°W,https://en.wikipedia.org/wiki/Evansville,66.9,45.7,56.3,45.39
241,242,Rochester,Minnesota,116961,106769,9.55,54.6,141.4,2088.0,806.0,44°00′55″N 92°28′38″W﻿ / ﻿44.0154°N 92.4772°W,https://en.wikipedia.org/wiki/Rochester,54.5,35.8,45.15,33.08
242,243,Independence,Missouri,116925,116830,0.08,77.8,201.5,1504.0,581.0,39°05′08″N 94°21′08″W﻿ / ﻿39.0855°N 94.3521°W,https://en.wikipedia.org/wiki/Independence,64.7,44.2,54.45,43.62
243,244,Fairfield,California,116884,105321,10.98,40.9,105.9,2806.0,1083.0,38°15′33″N 122°01′56″W﻿ / ﻿38.2593°N 122.0321°W,https://en.wikipedia.org/wiki/Fairfield,73.2,48.7,60.95,24.89
244,245,Provo,Utah,116702,112488,3.75,41.7,108.0,2803.0,1082.0,40°14′43″N 111°38′41″W﻿ / ﻿40.2453°N 111.6448°W,https://en.wikipedia.org/wiki/Provo,66.2,40.7,53.45,19.77
245,246,Clearwater,Florida,116478,107685,8.17,25.9,67.1,4415.0,1705.0,27°58′44″N 82°46′00″W﻿ / ﻿27.9789°N 82.7666°W,https://en.wikipedia.org/wiki/Clearwater,81.9,65.4,73.65,54.73
246,247,College Station,Texas,116218,93857,23.82,51.0,132.1,2199.0,849.0,30°35′07″N 96°17′47″W﻿ / ﻿30.5852°N 96.2964°W,https://en.wikipedia.org/wiki/College_Station,79.3,58.8,69.05,40.09
247,248,West Jordan,Utah,116046,103712,11.89,32.3,83.7,3520.0,1360.0,40°36′09″N 112°00′03″W﻿ / ﻿40.6024°N 112.0008°W,https://en.wikipedia.org/wiki/West_Jordan,-,-,-,-
248,249,Carlsbad,California,115877,105328,10.02,37.7,97.6,3023.0,1167.0,33°07′26″N 117°16′58″W﻿ / ﻿33.1239°N 117.2828°W,https://en.wikipedia.org/wiki/Carlsbad,68.5,55.2,61.85,11.85
249,250,El Monte,California,115586,113475,1.86,9.6,24.9,12063.0,4658.0,34°04′29″N 118°01′45″W﻿ / ﻿34.0746°N 118.0291°W,https://en.wikipedia.org/wiki/El_Monte,-,-,-,-
250,251,Murrieta,California,114985,103466,11.13,33.6,87.0,3324.0,1283.0,33°34′20″N 117°11′25″W﻿ / ﻿33.5721°N 117.1904°W,https://en.wikipedia.org/wiki/Murrieta,-,-,-,-
